Defaulting to user installation because normal site-packages is not writeable
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: graphviz in /home/js17sy/.local/lib/python3.10/site-packages (0.20)
21; python ga.py 10 256N_graph10.dat 0.025 0.01 0.5 0.5 0.5 201 256N_graph10strictgen1rem50_ 599781
/project/6008788/js17sy/reopenga/256a/ga.py:291: DeprecationWarning: Sampling from a set deprecated
since Python 3.9 and will be removed in a subsequent version.
  child1 = set(random.sample(
gen >0, new best = 149.700
gen >0, new best = 148.800
gen >0, new best = 131.100
gen >0, new best = 130.100
gen >0, new best = 128.700
gen >0, new best = 123.300
gen: 0 best: 123.3 mean: 152.4997512437811
gen: 1 best: 123.3 mean: 151.54328358208954
gen >2, new best = 116.600
gen: 2 best: 116.6 mean: 152.4318407960199
gen >3, new best = 111.900
gen: 3 best: 111.9 mean: 151.20696517412935
gen: 4 best: 111.9 mean: 152.42089552238807
gen: 5 best: 111.9 mean: 151.46915422885573
gen: 6 best: 111.9 mean: 150.63980099502487
gen >7, new best = 107.600
gen: 7 best: 107.6 mean: 150.27910447761195
gen: 8 best: 107.6 mean: 149.96766169154228
gen: 9 best: 107.6 mean: 148.71641791044777
gen: 10 best: 107.6 mean: 148.40348258706467
gen: 11 best: 107.6 mean: 147.9049751243781
gen: 12 best: 107.6 mean: 149.54179104477612
gen: 13 best: 107.6 mean: 146.26019900497514
gen: 14 best: 107.6 mean: 146.10597014925372
gen: 15 best: 107.6 mean: 145.95671641791046
gen: 16 best: 107.6 mean: 145.19651741293532
gen: 17 best: 107.6 mean: 144.93482587064676
gen: 18 best: 107.6 mean: 145.89154228855722
gen: 19 best: 107.6 mean: 145.1218905472637
gen: 20 best: 107.6 mean: 145.34328358208955
gen: 21 best: 107.6 mean: 144.38009950248755
gen: 22 best: 107.6 mean: 144.92437810945273
gen: 23 best: 107.6 mean: 143.90646766169155
gen: 24 best: 107.6 mean: 143.9457711442786
gen: 25 best: 107.6 mean: 142.24278606965174
gen >26, new best = 99.600
gen: 26 best: 99.6 mean: 142.273631840796
gen: 27 best: 99.6 mean: 142.81542288557213
gen: 28 best: 99.6 mean: 141.92885572139303
gen: 29 best: 99.6 mean: 142.62437810945275
gen: 30 best: 99.6 mean: 142.581592039801
gen >31, new best = 96.900
gen: 31 best: 96.9 mean: 141.23930348258708
gen: 32 best: 96.9 mean: 141.96517412935324
gen: 33 best: 96.9 mean: 141.52985074626866
gen: 34 best: 96.9 mean: 140.6144278606965
gen: 35 best: 96.9 mean: 142.16567164179105
gen: 36 best: 96.9 mean: 140.02487562189054
gen: 37 best: 96.9 mean: 141.8323383084577
gen: 38 best: 96.9 mean: 141.55223880597015
gen >39, new best = 96.600
gen: 39 best: 96.6 mean: 139.98855721393033
