Defaulting to user installation because normal site-packages is not writeable
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: graphviz in /home/js17sy/.local/lib/python3.10/site-packages (0.20)
143; python ga.py 18 1024N_graph18.dat 0.025 0.01 0.7 0.7 0.3 201 1024N_graph18strictgen2rem70_ 656903
/project/6008788/js17sy/reopenga/1024a/ga.py:291: DeprecationWarning: Sampling from a set deprecated
since Python 3.9 and will be removed in a subsequent version.
  child1 = set(random.sample(
gen >0, new best = 601.700
gen >0, new best = 568.400
gen >0, new best = 536.400
gen >0, new best = 503.900
gen >0, new best = 449.800
gen >0, new best = 449.000
gen: 0 best: 449.0 mean: 575.5383084577114
gen: 1 best: 449.0 mean: 568.7990049751244
gen >2, new best = 434.300
gen: 2 best: 434.3 mean: 558.881592039801
gen >3, new best = 418.500
gen: 3 best: 418.5 mean: 555.6213930348258
gen: 4 best: 418.5 mean: 554.4706467661691
gen: 5 best: 418.5 mean: 548.2029850746269
gen: 6 best: 418.5 mean: 540.1487562189054
gen: 7 best: 418.5 mean: 540.289552238806
gen: 8 best: 418.5 mean: 533.5616915422886
gen: 9 best: 418.5 mean: 535.9731343283582
gen: 10 best: 418.5 mean: 532.8189054726369
gen: 11 best: 418.5 mean: 532.1840796019901
gen: 12 best: 418.5 mean: 525.1567164179105
gen: 13 best: 418.5 mean: 524.2253731343284
gen: 14 best: 418.5 mean: 525.7402985074627
gen: 15 best: 418.5 mean: 519.5527363184079
gen: 16 best: 418.5 mean: 517.3427860696518
gen: 17 best: 418.5 mean: 515.1378109452736
gen: 18 best: 418.5 mean: 517.7681592039801
gen: 19 best: 418.5 mean: 512.6741293532339
gen: 20 best: 418.5 mean: 509.5681592039801
gen: 21 best: 418.5 mean: 509.8512437810945
gen: 22 best: 418.5 mean: 503.7582089552239
gen: 23 best: 418.5 mean: 503.2218905472637
gen: 24 best: 418.5 mean: 503.62388059701493
gen: 25 best: 418.5 mean: 502.5014925373134
gen: 26 best: 418.5 mean: 501.02636815920397
gen: 27 best: 418.5 mean: 499.5990049751244
gen: 28 best: 418.5 mean: 501.87114427860695
gen: 29 best: 418.5 mean: 502.2825870646766
gen: 30 best: 418.5 mean: 497.8502487562189
gen: 31 best: 418.5 mean: 493.1059701492537
gen: 32 best: 418.5 mean: 494.31542288557216
gen: 33 best: 418.5 mean: 491.8169154228856
gen >34, new best = 415.900
gen: 34 best: 415.9 mean: 487.47860696517415
gen: 35 best: 415.9 mean: 487.9537313432836
gen: 36 best: 415.9 mean: 487.52537313432833
gen: 37 best: 415.9 mean: 487.83930348258707
gen >38, new best = 413.200
gen: 38 best: 413.2 mean: 484.96218905472637
gen >39, new best = 411.200
gen: 39 best: 411.2 mean: 483.892039800995
gen >40, new best = 396.400
gen: 40 best: 396.4 mean: 482.4338308457711
gen: 41 best: 396.4 mean: 481.8363184079602
gen >42, new best = 396.300
gen: 42 best: 396.3 mean: 484.27064676616914
gen: 43 best: 396.3 mean: 480.1208955223881
gen: 44 best: 396.3 mean: 481.0910447761194
gen: 45 best: 396.3 mean: 481.0810945273632
gen: 46 best: 396.3 mean: 478.68955223880596
gen: 47 best: 396.3 mean: 480.444776119403
gen: 48 best: 396.3 mean: 481.00248756218906
gen: 49 best: 396.3 mean: 477.373631840796
gen: 50 best: 396.3 mean: 476.04676616915424
gen >51, new best = 386.400
gen: 51 best: 386.4 mean: 471.9417910447761
gen >52, new best = 384.500
gen: 52 best: 384.5 mean: 475.31094527363183
gen: 53 best: 384.5 mean: 475.34278606965177
gen: 54 best: 384.5 mean: 476.9189054726368
gen: 55 best: 384.5 mean: 473.2731343283582
gen: 56 best: 384.5 mean: 472.4741293532338
gen: 57 best: 384.5 mean: 470.0676616915423
gen: 58 best: 384.5 mean: 471.2009950248756
gen: 59 best: 384.5 mean: 469.70995024875623
gen: 60 best: 384.5 mean: 470.83781094527365
gen >61, new best = 381.900
gen: 61 best: 381.9 mean: 472.7467661691542
gen: 62 best: 381.9 mean: 469.0512437810945
gen: 63 best: 381.9 mean: 472.4671641791045
gen: 64 best: 381.9 mean: 472.47910447761194
gen >65, new best = 372.400
gen: 65 best: 372.4 mean: 468.2860696517413
gen: 66 best: 372.4 mean: 467.99402985074624
gen: 67 best: 372.4 mean: 469.1756218905473
gen: 68 best: 372.4 mean: 464.1865671641791
gen: 69 best: 372.4 mean: 464.9323383084577
gen: 70 best: 372.4 mean: 465.45124378109455
gen: 71 best: 372.4 mean: 465.53781094527363
gen: 72 best: 372.4 mean: 462.444776119403
gen: 73 best: 372.4 mean: 465.7726368159204
gen: 74 best: 372.4 mean: 466.79800995024874
gen: 75 best: 372.4 mean: 464.8407960199005
gen: 76 best: 372.4 mean: 462.95174129353234
gen: 77 best: 372.4 mean: 464.23930348258705
gen: 78 best: 372.4 mean: 464.8900497512438
gen: 79 best: 372.4 mean: 464.36567164179104
gen: 80 best: 372.4 mean: 461.52288557213933
gen: 81 best: 372.4 mean: 459.45721393034825
gen: 82 best: 372.4 mean: 461.00995024875624
gen: 83 best: 372.4 mean: 460.25721393034826
gen: 84 best: 372.4 mean: 461.5164179104478
