Defaulting to user installation because normal site-packages is not writeable
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: graphviz in /home/js17sy/.local/lib/python3.10/site-packages (0.20)
331; python ga.py 21 768N_graph21.dat 0.05 0.02 0.7 0.9 0.1 201 768N_graph21mediumgen3rem70_ 28561
/project/6008788/js17sy/reopenga/768b/ga.py:291: DeprecationWarning: Sampling from a set deprecated
since Python 3.9 and will be removed in a subsequent version.
  child1 = set(random.sample(
gen >0, new best = 486.700
gen >0, new best = 485.900
gen >0, new best = 469.800
gen >0, new best = 456.600
gen >0, new best = 416.500
gen: 0 best: 416.5 mean: 490.13830845771145
gen >1, new best = 405.800
gen: 1 best: 405.8 mean: 484.08358208955224
gen: 2 best: 405.8 mean: 479.263184079602
gen: 3 best: 405.8 mean: 476.1228855721393
gen >4, new best = 401.200
gen: 4 best: 401.2 mean: 471.12935323383084
gen >5, new best = 400.100
gen >5, new best = 399.900
gen: 5 best: 399.9 mean: 466.9134328358209
gen: 6 best: 399.9 mean: 458.84776119402983
gen >7, new best = 393.000
gen: 7 best: 393.0 mean: 459.1860696517413
gen: 8 best: 393.0 mean: 454.3502487562189
gen >9, new best = 388.700
gen: 9 best: 388.7 mean: 454.84676616915425
gen >10, new best = 379.400
gen: 10 best: 379.4 mean: 457.36218905472634
gen: 11 best: 379.4 mean: 451.318407960199
gen: 12 best: 379.4 mean: 449.94776119402985
gen: 13 best: 379.4 mean: 447.2512437810945
gen: 14 best: 379.4 mean: 446.74477611940296
gen >15, new best = 377.600
gen >15, new best = 364.000
gen: 15 best: 364.0 mean: 444.0353233830846
gen: 16 best: 364.0 mean: 438.7800995024876
gen: 17 best: 364.0 mean: 436.81094527363183
gen: 18 best: 364.0 mean: 431.52139303482585
gen: 19 best: 364.0 mean: 428.86567164179104
gen: 20 best: 364.0 mean: 428.42885572139306
gen: 21 best: 364.0 mean: 427.28855721393035
gen: 22 best: 364.0 mean: 429.4144278606965
gen >23, new best = 359.100
gen: 23 best: 359.1 mean: 422.94975124378107
gen: 24 best: 359.1 mean: 420.83034825870647
gen: 25 best: 359.1 mean: 419.20049751243783
gen: 26 best: 359.1 mean: 416.844776119403
gen >27, new best = 349.000
gen: 27 best: 349.0 mean: 417.452736318408
gen >28, new best = 340.400
gen: 28 best: 340.4 mean: 413.4467661691542
gen: 29 best: 340.4 mean: 413.67313432835823
gen: 30 best: 340.4 mean: 409.6099502487562
gen: 31 best: 340.4 mean: 410.13482587064675
gen: 32 best: 340.4 mean: 409.1174129353234
gen: 33 best: 340.4 mean: 411.065671641791
gen: 34 best: 340.4 mean: 408.344776119403
gen: 35 best: 340.4 mean: 410.94228855721394
gen: 36 best: 340.4 mean: 409.018407960199
gen: 37 best: 340.4 mean: 406.2905472636816
gen: 38 best: 340.4 mean: 406.5567164179104
gen: 39 best: 340.4 mean: 405.6542288557214
gen: 40 best: 340.4 mean: 403.9084577114428
gen: 41 best: 340.4 mean: 404.2144278606965
gen >42, new best = 336.200
gen: 42 best: 336.2 mean: 403.1611940298507
gen: 43 best: 336.2 mean: 402.8512437810945
gen: 44 best: 336.2 mean: 400.1452736318408
gen: 45 best: 336.2 mean: 397.789552238806
gen: 46 best: 336.2 mean: 398.43482587064676
gen: 47 best: 336.2 mean: 398.62189054726366
gen: 48 best: 336.2 mean: 395.47860696517415
gen: 49 best: 336.2 mean: 392.4557213930348
gen: 50 best: 336.2 mean: 396.9820895522388
gen: 51 best: 336.2 mean: 394.11990049751245
gen: 52 best: 336.2 mean: 393.71094527363186
gen >53, new best = 328.400
gen: 53 best: 328.4 mean: 394.2069651741294
gen >54, new best = 315.000
gen: 54 best: 315.0 mean: 392.77960199004974
gen: 55 best: 315.0 mean: 393.4855721393035
gen: 56 best: 315.0 mean: 392.28308457711444
gen: 57 best: 315.0 mean: 394.0268656716418
gen: 58 best: 315.0 mean: 388.8512437810945
gen: 59 best: 315.0 mean: 390.06716417910445
gen: 60 best: 315.0 mean: 389.6636815920398
gen: 61 best: 315.0 mean: 389.99701492537315
gen: 62 best: 315.0 mean: 389.5696517412935
gen: 63 best: 315.0 mean: 387.4950248756219
gen: 64 best: 315.0 mean: 387.144776119403
gen: 65 best: 315.0 mean: 385.9049751243781
gen: 66 best: 315.0 mean: 389.24228855721395
gen: 67 best: 315.0 mean: 389.1278606965174
gen: 68 best: 315.0 mean: 388.2686567164179
gen: 69 best: 315.0 mean: 386.02835820895524
gen: 70 best: 315.0 mean: 386.2233830845771
gen: 71 best: 315.0 mean: 385.2636815920398
gen >72, new best = 300.300
gen: 72 best: 300.3 mean: 383.98407960199006
gen: 73 best: 300.3 mean: 386.1686567164179
gen: 74 best: 300.3 mean: 384.8517412935323
gen: 75 best: 300.3 mean: 385.4452736318408
gen: 76 best: 300.3 mean: 383.5054726368159
gen: 77 best: 300.3 mean: 385.2233830845771
gen: 78 best: 300.3 mean: 384.2363184079602
gen: 79 best: 300.3 mean: 385.07064676616915
gen: 80 best: 300.3 mean: 382.82835820895525
gen: 81 best: 300.3 mean: 382.89353233830843
gen: 82 best: 300.3 mean: 384.32338308457713
gen: 83 best: 300.3 mean: 383.9373134328358
gen: 84 best: 300.3 mean: 382.15671641791045
gen: 85 best: 300.3 mean: 381.573631840796
gen: 86 best: 300.3 mean: 382.1502487562189
gen: 87 best: 300.3 mean: 381.4910447761194
gen: 88 best: 300.3 mean: 382.92039800995025
gen: 89 best: 300.3 mean: 381.80298507462686
gen: 90 best: 300.3 mean: 380.88706467661694
gen: 91 best: 300.3 mean: 382.16169154228857
gen: 92 best: 300.3 mean: 383.02636815920397
gen: 93 best: 300.3 mean: 382.047263681592
