Defaulting to user installation because normal site-packages is not writeable
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: graphviz in /home/js17sy/.local/lib/python3.10/site-packages (0.20)
6; python ga.py 5 768N_graph5.dat 0.025 0.01 0.5 0.5 0.5 201 768N_graph5strictgen1rem50_ 171366
/project/6008788/js17sy/reopenga/768a/ga.py:291: DeprecationWarning: Sampling from a set deprecated
since Python 3.9 and will be removed in a subsequent version.
  child1 = set(random.sample(
gen >0, new best = 443.400
gen >0, new best = 442.400
gen >0, new best = 437.600
gen >0, new best = 435.200
gen >0, new best = 433.600
gen >0, new best = 432.100
gen >0, new best = 431.600
gen: 0 best: 431.6 mean: 454.142039800995
gen >1, new best = 430.200
gen >1, new best = 429.300
gen: 1 best: 429.3 mean: 453.34328358208955
gen >2, new best = 423.300
gen >2, new best = 419.600
gen: 2 best: 419.6 mean: 450.50696517412933
gen: 3 best: 419.6 mean: 452.06318407960197
gen: 4 best: 419.6 mean: 450.4636815920398
gen: 5 best: 419.6 mean: 451.03930348258706
gen: 6 best: 419.6 mean: 449.40248756218904
gen: 7 best: 419.6 mean: 449.5786069651741
gen: 8 best: 419.6 mean: 448.2507462686567
gen: 9 best: 419.6 mean: 448.0915422885572
gen: 10 best: 419.6 mean: 448.3532338308458
gen >11, new best = 418.500
gen: 11 best: 418.5 mean: 446.1830845771144
gen: 12 best: 418.5 mean: 445.96119402985073
gen: 13 best: 418.5 mean: 444.6681592039801
gen: 14 best: 418.5 mean: 444.26616915422886
gen >15, new best = 415.500
gen: 15 best: 415.5 mean: 443.5716417910448
gen: 16 best: 415.5 mean: 443.3776119402985
gen: 17 best: 415.5 mean: 441.6099502487562
gen >18, new best = 413.500
gen: 18 best: 413.5 mean: 442.04875621890545
gen: 19 best: 413.5 mean: 441.8099502487562
gen: 20 best: 413.5 mean: 441.6810945273632
gen: 21 best: 413.5 mean: 440.6044776119403
gen >22, new best = 411.300
gen: 22 best: 411.3 mean: 440.0845771144279
gen: 23 best: 411.3 mean: 438.43482587064676
gen: 24 best: 411.3 mean: 438.7134328358209
gen: 25 best: 411.3 mean: 437.9671641791045
gen: 26 best: 411.3 mean: 437.20746268656717
gen >27, new best = 410.900
gen: 27 best: 410.9 mean: 436.59800995024875
gen >28, new best = 408.900
gen: 28 best: 408.9 mean: 435.6980099502488
gen >29, new best = 408.600
gen: 29 best: 408.6 mean: 435.42039800995025
gen: 30 best: 408.6 mean: 433.78805970149256
gen: 31 best: 408.6 mean: 434.547263681592
gen: 32 best: 408.6 mean: 433.3845771144279
gen >33, new best = 406.500
gen: 33 best: 406.5 mean: 433.736815920398
gen: 34 best: 406.5 mean: 433.655223880597
gen: 35 best: 406.5 mean: 433.42437810945273
gen: 36 best: 406.5 mean: 432.1044776119403
gen: 37 best: 406.5 mean: 431.40398009950246
gen >38, new best = 399.300
gen: 38 best: 399.3 mean: 432.5995024875622
gen: 39 best: 399.3 mean: 430.40248756218904
gen: 40 best: 399.3 mean: 430.7467661691542
gen: 41 best: 399.3 mean: 431.7328358208955
