Defaulting to user installation because normal site-packages is not writeable
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: graphviz in /home/js17sy/.local/lib/python3.10/site-packages (0.20)
561; python ga.py 18 512N_graph18.dat 0.1 0.04 0.5 0.5 0.5 201 512N_graph18leerygen1rem50_ 599781
/project/6008788/js17sy/reopenga/512c/ga.py:291: DeprecationWarning: Sampling from a set deprecated
since Python 3.9 and will be removed in a subsequent version.
  child1 = set(random.sample(
gen >0, new best = 351.400
gen >0, new best = 344.600
gen >0, new best = 310.700
gen >0, new best = 308.000
gen: 0 best: 308.0 mean: 351.61119402985076
gen: 1 best: 308.0 mean: 351.2009950248756
gen >2, new best = 307.300
gen: 2 best: 307.3 mean: 350.5442786069652
gen >3, new best = 306.300
gen >3, new best = 287.700
gen: 3 best: 287.7 mean: 349.34378109452734
gen: 4 best: 287.7 mean: 350.0681592039801
gen: 5 best: 287.7 mean: 349.04676616915424
gen: 6 best: 287.7 mean: 348.39253731343285
gen: 7 best: 287.7 mean: 347.4119402985075
gen: 8 best: 287.7 mean: 347.8174129353234
gen >9, new best = 283.200
gen: 9 best: 283.2 mean: 347.28109452736317
gen: 10 best: 283.2 mean: 347.2597014925373
gen: 11 best: 283.2 mean: 345.13980099502487
gen: 12 best: 283.2 mean: 345.5134328358209
gen: 13 best: 283.2 mean: 344.6830845771144
gen: 14 best: 283.2 mean: 344.52039800995027
gen: 15 best: 283.2 mean: 346.42935323383085
gen: 16 best: 283.2 mean: 345.4278606965174
gen: 17 best: 283.2 mean: 343.94378109452737
gen >18, new best = 275.400
gen: 18 best: 275.4 mean: 343.5537313432836
gen: 19 best: 275.4 mean: 343.31641791044774
gen: 20 best: 275.4 mean: 342.6457711442786
gen: 21 best: 275.4 mean: 342.1358208955224
gen: 22 best: 275.4 mean: 340.9398009950249
gen: 23 best: 275.4 mean: 341.9776119402985
gen: 24 best: 275.4 mean: 343.1467661691542
gen: 25 best: 275.4 mean: 343.79950248756217
gen: 26 best: 275.4 mean: 341.89353233830843
gen: 27 best: 275.4 mean: 342.56119402985075
gen: 28 best: 275.4 mean: 341.4462686567164
gen: 29 best: 275.4 mean: 342.4776119402985
gen: 30 best: 275.4 mean: 342.5965174129353
gen: 31 best: 275.4 mean: 343.16218905472635
gen: 32 best: 275.4 mean: 342.67910447761193
gen >33, new best = 271.800
gen: 33 best: 271.8 mean: 342.66517412935326
gen: 34 best: 271.8 mean: 341.21144278606965
