Defaulting to user installation because normal site-packages is not writeable
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: graphviz in /home/js17sy/.local/lib/python3.10/site-packages (0.20)
355; python ga.py 24 1024N_graph24.dat 0.05 0.02 0.7 0.9 0.1 201 1024N_graph24mediumgen3rem70_ 714025
/project/6008788/js17sy/reopenga/1024b/ga.py:291: DeprecationWarning: Sampling from a set deprecated
since Python 3.9 and will be removed in a subsequent version.
  child1 = set(random.sample(
gen >0, new best = 603.900
gen >0, new best = 600.200
gen >0, new best = 598.400
gen >0, new best = 575.000
gen >0, new best = 571.100
gen >0, new best = 569.600
gen >0, new best = 558.900
gen >0, new best = 549.700
gen >0, new best = 549.400
gen >0, new best = 529.200
gen: 0 best: 529.2 mean: 600.889303482587
gen >1, new best = 528.800
gen >1, new best = 528.200
gen: 1 best: 528.2 mean: 594.2567164179104
gen >2, new best = 513.500
gen: 2 best: 513.5 mean: 591.7661691542288
gen: 3 best: 513.5 mean: 583.526368159204
gen: 4 best: 513.5 mean: 582.5880597014925
gen: 5 best: 513.5 mean: 578.981592039801
gen: 6 best: 513.5 mean: 577.2611940298507
gen >7, new best = 499.800
gen >7, new best = 492.600
gen: 7 best: 492.6 mean: 577.9393034825871
gen: 8 best: 492.6 mean: 574.3
gen: 9 best: 492.6 mean: 572.2268656716418
gen: 10 best: 492.6 mean: 567.4900497512438
gen >11, new best = 485.600
gen: 11 best: 485.6 mean: 567.5507462686567
gen: 12 best: 485.6 mean: 564.0109452736318
gen: 13 best: 485.6 mean: 557.2308457711442
gen: 14 best: 485.6 mean: 556.0059701492537
gen: 15 best: 485.6 mean: 550.1766169154229
gen >16, new best = 482.800
gen: 16 best: 482.8 mean: 552.7497512437811
gen: 17 best: 482.8 mean: 549.6218905472637
gen: 18 best: 482.8 mean: 548.5701492537313
gen: 19 best: 482.8 mean: 545.1990049751244
gen >20, new best = 477.100
gen: 20 best: 477.1 mean: 543.0527363184079
gen: 21 best: 477.1 mean: 542.8810945273632
gen: 22 best: 477.1 mean: 540.1
gen: 23 best: 477.1 mean: 539.3223880597014
gen >24, new best = 468.000
gen: 24 best: 468.0 mean: 538.1388059701493
gen: 25 best: 468.0 mean: 538.2587064676617
gen: 26 best: 468.0 mean: 538.4522388059702
gen: 27 best: 468.0 mean: 535.7054726368159
gen: 28 best: 468.0 mean: 534.9980099502487
gen: 29 best: 468.0 mean: 532.0955223880597
gen: 30 best: 468.0 mean: 529.0796019900497
