Defaulting to user installation because normal site-packages is not writeable
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/avx2, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: graphviz in /home/js17sy/.local/lib/python3.10/site-packages (0.20)
675; python ga.py 24 1024N_graph24.dat 0.1 0.04 0.7 0.7 0.3 201 1024N_graph24leerygen2rem70_ 428415
/project/6008788/js17sy/reopenga/1024b/ga.py:291: DeprecationWarning: Sampling from a set deprecated
since Python 3.9 and will be removed in a subsequent version.
  child1 = set(random.sample(
gen >0, new best = 646.000
gen >0, new best = 601.000
gen >0, new best = 600.500
gen >0, new best = 596.400
gen: 0 best: 596.4 mean: 637.3915422885572
gen >1, new best = 594.500
gen: 1 best: 594.5 mean: 635.9572139303483
gen >2, new best = 592.100
gen >2, new best = 590.300
gen: 2 best: 590.3 mean: 634.7925373134328
gen >3, new best = 579.100
gen: 3 best: 579.1 mean: 630.7283582089552
gen: 4 best: 579.1 mean: 632.1348258706468
gen: 5 best: 579.1 mean: 629.0233830845771
gen >6, new best = 547.300
gen: 6 best: 547.3 mean: 629.5751243781094
gen: 7 best: 547.3 mean: 631.155223880597
gen: 8 best: 547.3 mean: 626.9019900497512
gen: 9 best: 547.3 mean: 626.7059701492537
gen: 10 best: 547.3 mean: 626.2791044776119
gen: 11 best: 547.3 mean: 625.6800995024876
gen: 12 best: 547.3 mean: 625.4726368159204
gen: 13 best: 547.3 mean: 624.8532338308457
gen: 14 best: 547.3 mean: 623.5517412935324
gen >15, new best = 541.400
gen: 15 best: 541.4 mean: 620.4318407960199
gen: 16 best: 541.4 mean: 622.3194029850746
gen: 17 best: 541.4 mean: 619.4925373134329
gen: 18 best: 541.4 mean: 620.2507462686567
gen: 19 best: 541.4 mean: 618.4597014925373
gen: 20 best: 541.4 mean: 617.9592039800995
gen: 21 best: 541.4 mean: 616.9318407960199
gen: 22 best: 541.4 mean: 614.9303482587064
gen: 23 best: 541.4 mean: 617.2174129353234
gen: 24 best: 541.4 mean: 613.3805970149253
gen: 25 best: 541.4 mean: 615.0995024875622
gen: 26 best: 541.4 mean: 612.5616915422886
gen: 27 best: 541.4 mean: 612.6915422885572
gen: 28 best: 541.4 mean: 612.2432835820896
gen: 29 best: 541.4 mean: 610.4169154228856
gen: 30 best: 541.4 mean: 610.6144278606965
gen: 31 best: 541.4 mean: 608.671144278607
gen: 32 best: 541.4 mean: 609.4044776119403
gen: 33 best: 541.4 mean: 610.6805970149254
gen: 34 best: 541.4 mean: 609.502487562189
gen: 35 best: 541.4 mean: 607.5651741293533
gen: 36 best: 541.4 mean: 607.9741293532338
gen: 37 best: 541.4 mean: 609.0970149253732
gen: 38 best: 541.4 mean: 606.5467661691542
gen: 39 best: 541.4 mean: 606.8616915422886
gen: 40 best: 541.4 mean: 607.0094527363184
gen: 41 best: 541.4 mean: 604.636815920398
gen: 42 best: 541.4 mean: 605.3636815920398
gen: 43 best: 541.4 mean: 604.9796019900498
gen: 44 best: 541.4 mean: 606.9537313432836
gen >45, new best = 536.800
gen: 45 best: 536.8 mean: 605.9009950248757
gen: 46 best: 536.8 mean: 603.5328358208956
gen: 47 best: 536.8 mean: 603.3532338308457
gen: 48 best: 536.8 mean: 602.0751243781094
gen: 49 best: 536.8 mean: 604.7417910447762
gen: 50 best: 536.8 mean: 604.3417910447761
gen: 51 best: 536.8 mean: 602.9781094527364
gen: 52 best: 536.8 mean: 601.3507462686567
gen: 53 best: 536.8 mean: 602.8567164179104
gen: 54 best: 536.8 mean: 600.9064676616915
gen: 55 best: 536.8 mean: 601.8865671641792
gen: 56 best: 536.8 mean: 600.981592039801
gen >57, new best = 532.200
gen: 57 best: 532.2 mean: 601.2482587064677
gen: 58 best: 532.2 mean: 600.763184079602
gen: 59 best: 532.2 mean: 599.5323383084577
gen: 60 best: 532.2 mean: 599.9114427860696
gen: 61 best: 532.2 mean: 598.5189054726368
gen >62, new best = 481.700
gen: 62 best: 481.7 mean: 598.2935323383084
gen: 63 best: 481.7 mean: 600.1945273631841
gen: 64 best: 481.7 mean: 598.1477611940298
gen: 65 best: 481.7 mean: 599.4084577114428
gen: 66 best: 481.7 mean: 600.2462686567164
gen: 67 best: 481.7 mean: 600.7054726368159
gen: 68 best: 481.7 mean: 598.9935323383085
gen: 69 best: 481.7 mean: 599.9800995024875
gen: 70 best: 481.7 mean: 598.6223880597015
gen: 71 best: 481.7 mean: 600.3756218905472
gen: 72 best: 481.7 mean: 598.0567164179105
gen: 73 best: 481.7 mean: 596.7855721393034
gen: 74 best: 481.7 mean: 597.8930348258707
gen: 75 best: 481.7 mean: 596.3870646766169
gen: 76 best: 481.7 mean: 599.4154228855722
gen: 77 best: 481.7 mean: 597.7995024875622
gen: 78 best: 481.7 mean: 598.5323383084577
gen: 79 best: 481.7 mean: 598.181592039801
gen: 80 best: 481.7 mean: 597.2791044776119
gen: 81 best: 481.7 mean: 598.107960199005
gen: 82 best: 481.7 mean: 596.6746268656716
gen: 83 best: 481.7 mean: 597.7990049751244
gen: 84 best: 481.7 mean: 599.1616915422885
gen: 85 best: 481.7 mean: 597.4686567164179
gen: 86 best: 481.7 mean: 598.6756218905473
gen: 87 best: 481.7 mean: 598.4298507462687
gen: 88 best: 481.7 mean: 597.8258706467661
gen: 89 best: 481.7 mean: 596.834328358209
gen: 90 best: 481.7 mean: 599.1562189054727
gen: 91 best: 481.7 mean: 595.7621890547264
gen: 92 best: 481.7 mean: 596.6268656716418
gen: 93 best: 481.7 mean: 597.1089552238806
gen: 94 best: 481.7 mean: 596.3905472636816
gen: 95 best: 481.7 mean: 597.7825870646766
gen: 96 best: 481.7 mean: 596.0587064676616
gen: 97 best: 481.7 mean: 595.8666666666667
gen: 98 best: 481.7 mean: 595.7850746268657
gen: 99 best: 481.7 mean: 596.863184079602
[8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 7, 8, 8, 11, 8, 8, 8, 8, 8, 8, 8, 7, 9, 9, 8, 8, 9, 8, 9, 8, 8, 8, 9, 8, 7, 8, 8, 8, 8, 8, 7, 8, 9, 8, 8, 8, 8, 8]
Test count of edges: 1899
cat
